,noise_level,mse1,rmse1,r2_1,mse2,rmse2,r2_2,X1_cover_mean,X2_cover_mean
0,1,0.00021915589158003,0.014803914738339653,0.9999837089041397,6.614265729753453e-05,0.008132813615074093,0.9999950285720429,1.0,1.0
1,5,0.005478897289500736,0.07401957369169818,0.9995927226034931,0.001653566432438349,0.040664068075370284,0.9998757143010718,1.0,1.0
2,10,0.02191558915800297,0.14803914738339644,0.9983708904139722,0.006614265729753399,0.0813281361507406,0.9995028572042871,1.0,1.0
3,20,0.08766235663201179,0.2960782947667927,0.9934835616558888,0.026457062919013594,0.1626562723014812,0.9980114288171483,1.0,1.0
4,30,0.19724030242202661,0.44411744215018917,0.9853380137257497,0.05952839156778058,0.24398440845222175,0.9955257148385837,1.0,0.998
5,40,0.35064942652804726,0.5921565895335855,0.973934246623555,0.10582825167605442,0.32531254460296244,0.9920457152685932,0.998,0.996
6,50,0.5478897289500739,0.7401957369169819,0.9592722603493047,0.165356643243835,0.406640680753703,0.9875714301071769,0.9864,0.988
7,60,0.7889612096881068,0.8882348843003786,0.9413520549029988,0.23811356627112237,0.48796881690444355,0.9821028593543346,0.9708,0.9736
8,70,1.0738638687421456,1.036274031683775,0.9201736302846372,0.3240990207579167,0.5692969530551842,0.9756400030100666,0.9472,0.9696
9,80,1.4025977061121893,1.184313179067171,0.8957369864942201,0.4233130067042175,0.6506250892059248,0.9681828610743727,0.9208,0.952
10,90,1.7751627217982393,1.3323523264505674,0.8680421235317473,0.5357555241100256,0.7319532253566655,0.9597314335472529,0.9036,0.9364
11,100,2.1915589158002966,1.480391473833964,0.8370890413972188,0.6614265729753401,0.813281361507406,0.9502857204287073,0.8852,0.9164
12,150,4.931007560550666,2.2205872107509457,0.6334503431437424,1.4882097891945152,1.219922042261109,0.8881428709645914,0.7824,0.7812
13,200,8.766235663201186,2.960782947667928,0.3483561655888753,2.64570629190136,1.626562723014812,0.8011428817148293,0.716,0.7368
