,noise_level,mse_X1,rmse_X1,r2_X1,mse_X2,rmse_X2,r2_X2,X1_cover_mean,X2_cover_mean
0,1,0.00013677746153334893,0.011695189674962476,0.9999898325583615,0.0001399047165116196,0.011828132418586613,0.999989484453038,1.0,1.0
1,5,0.0033863984995768028,0.05819277016586169,0.9997482698631556,0.0035098917350691807,0.05924433926603605,0.999736188798407,1.0,1.0
2,10,0.014877880752268704,0.12197491853765963,0.9988940430495136,0.013327366906686018,0.1154442155618289,0.9989982857184468,1.0,1.0
3,20,0.054710984613338835,0.23390379349924798,0.9959330233446149,0.055961886604647244,0.236562648371731,0.9957937812152217,1.0,1.0
4,30,0.1230997153800123,0.3508556902488718,0.9908493025253834,0.12591424486045644,0.3548439725575967,0.9905360077342488,1.0,1.0
5,40,0.2114761456404388,0.4598653559906843,0.9842797830532772,0.20493118548484257,0.4526932576092144,0.9845969202564081,1.0,0.996
6,50,0.3419436538333676,0.5847594837481198,0.9745813959038427,0.3497617912790456,0.5914066209293278,0.9737111325951355,0.9996,0.982
7,60,0.4719674296275596,0.686998857078787,0.9649159938911162,0.4797766636453578,0.6926591251440768,0.9639389281247752,0.9988,0.9736
8,70,0.6552277128216504,0.8094613720380055,0.9512932214464775,0.6451450648001852,0.8032092285327561,0.9515094744814374,0.9964,0.9468
9,80,0.8729718555719346,0.9343296289703835,0.9351070688544374,0.8430018468566263,0.9181513202390041,0.9366381224975234,0.9716,0.9336
10,90,1.1561909006458175,1.075263177387665,0.9140537967772404,1.1154716760035888,1.056158925542737,0.9161586893836993,0.9644,0.8544
11,100,1.3392804873222426,1.1572728664071592,0.9004437131693573,1.3424893093438444,1.1586584092578125,0.899095543521987,0.95,0.9156
12,150,3.0086986813239043,1.734560082938583,0.7763464250093355,2.9624008077559525,1.7211626325701916,0.7773394236392532,0.8828,0.8444
13,200,5.336768106634051,2.310144607299303,0.6032878688205306,5.392084672331391,2.322086275815649,0.5947190272889761,0.83,0.766
