,Mean(|SHAP_value|),Uncertainty,R2,RMSE,SHAP_Var,Pred_SHAP_Var
bathrooms,1.5795152514399433,2.6408896360838807,0.37031286477577996,1.680199660911139,4.483291372183838,0.9051468089273641
sqft_living,6.548406769447383,5.548779192288957,0.8993161755649679,3.022842121208554,90.75513908044688,87.96623464070143
sqft_lot,3.0565378366685705,2.7104430839897846,0.7996813151131461,2.0336551921799617,20.64586957036242,19.337919418894572
grade,6.8507307644113995,4.245529728148023,0.971459915870295,1.754655347019473,107.8768854650832,94.57797086934967
condition,1.1756427918321044,0.6796748210864512,0.8166083452501893,0.7083041368693163,2.7356465646739325,2.669428378600779
waterfront,0.895254402382695,0.22356198370684896,0.9277418674254118,1.330486733711927,24.498210589045513,17.517571210952497
view,2.258790738777908,1.310137102669712,0.8828947557498067,1.8597388181871461,29.534360258732928,15.638669707892502
age,2.425636480909312,2.9677967786263797,0.6111187843395294,1.986322150509266,10.145709092435371,8.37754080160038
lon,3.1025053009419317,3.3782988238689415,0.6589521512536451,2.4542556589498425,17.661365880560187,12.46447272608345
lat,13.39965734512986,7.150693985892152,0.977327381695999,2.3497903452893625,243.5322904827771,225.76638697286515
